_id,FACILITY_ID,FACILITY_NAME,FA_ADDRESS_GIVEN,FA_POSTAL_CODE,FA_LAT,FA_LON,NAICS_CODE_6,NAICS_CODE_6_DESC_ENG,EMPLOYEE_COUNT,WEB_SITE,PC_FULL_NAME,PHONE_NO,PC_JOB_TITLE,PC_PHONE_NO,PC_PHONE_NO_EXT,PC_FAX_NO,CHEMICAL_ID,CHEMICAL_NAME,USE_MANUFACTURED,USE_PROCESSED,USE_OTHER_USE,REL_AIR,REL_LAND,REL_WATER,REL_DISPOSAL,REL_RECYCLING
1,15400,A J Lemik,66 Penn Dr,M9L 2A9,43.7535,-79.5578,333519,Other Metalworking Machinery Mfg.,4,,Angela Mariotti,416-322-3455,Accounting&#x2F;Bookkeeping,416-744-0021,,,18,Nickel and its compounds,0,42,0,0,0,0,0,0
2,21937,Ashford Cleaners,535 Eglinton Ave West,M5N 1B1,43.7034,-79.4142,812320,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),22,,Lucaino Accardi,416-322-3127,Manager,416-322-3127,,,25,Volatile Organic Compounds (VOCs) Total,5,0,427,99,0,0,0,0
3,21950,Amvic Inc,501 McNicoll Avenue,M2H 2E2,43.8038,-79.34,325210,Resin & Synthetic Rubber Mfg.,120,,Vinod Kanwar,416-410-5674,VPOperations,416-410-5674,,416-759-7402,25,Volatile Organic Compounds (VOCs) Total,150,0,111891,112041,0,0,0,0
4,22139,Mecon Industries Limited,17 Malley Rd,M1L 2E4,43.7208,-79.2832,339990,All Other Miscellaneous Mfg.,20,,David Foscarini,416-751-1901,President,416-751-1901,,416-751-6603,25,Volatile Organic Compounds (VOCs) Total,0,0,139,139,0,0,0,0
5,22518,McCowan Design and Manufacturing,1760 Birchmount Road,M1P 2H7,43.7636,-79.2914,331221,Cold-Rolled Steel Shape Mfg.,50,,James Chabot,416-291-7111,Operations Manager,416-291-7111,,,16,Manganese and its compounds,0,1961,0,0,0,0,0,0
6,22519,Ocean Food Company,3 Turbina Avenue,M1V 5G3,43.827,-79.2505,311710,Seafood Product Preparation & Packaging,35,,Daniel Leung,416-285-6487,Director Of Sales,416-285-6487,,,25,Volatile Organic Compounds (VOCs) Total,12,0,0,0,0,0,0,0
7,22870,Fiba Canning Inc,2651 Markham Rd,M1X 1M4,43.8188,-79.2454,336212,Truck Trailer Mfg.,30,,Michael Canning,416-299-1142,Operations Manager,416-299-1142,,416-299-0349,25,Volatile Organic Compounds (VOCs) Total,2186,1766,420,1766,0,0,0,0
8,22891,Mariani Metal Fabricators Limited,263 Carrier Drive,M9W 5Y8,43.7509,-79.6141,332999,All Other Misc. Fabricated Metal Product Mfg.,66,,Venkat Ramaraju,416-798-2969,CFO,416-798-2969,,,18,Nickel and its compounds,0,3922,0,0,0,0,0,0
9,22922,City Of Toronto F J Horgan Water Treatment Plant,201 Copperfield Road,M1E 5G7,43.7631,-79.1565,221310,Water Supply & Irrigation Systems,30,,Ian Chin,416-392-2883,Water Treatment Plant Manager F,416-392-2572,,416-397-4974,25,Volatile Organic Compounds (VOCs) Total,619,0,0,619,0,0,0,0
10,22944,Siltech Corporation,225 Wicksteed Ave,M4H 1G5,43.7132,-79.3474,325190,Other Basic Organic Chemical Mfg.,51,,James Tellerd,416-424-4567,Operations Manager,416-424-4567,,,23,Nitrogen Oxides (NOx),745,0,0,745,0,0,0,0
11,23014,Weston MB Collision Ltd,108 Toryork Drive,M9L 1X6,43.7563,-79.5506,811121,"Automotive Body, Paint & Interior R&M",46,,Gaylene Walters,416-740-8790,Book Keeper,416-740-8790,,,24,Particulate Matter 2.5 (PM2.5),451,0,0,5,0,0,0,0
